gvkey	date	permco
7647	201512	3151
7647	201601	3151
7647	201602	3151
7647	201603	3151
7647	201604	3151
7647	201605	3151
7647	201606	3151
7647	201607	3151
7647	201608	3151
7647	201609	3151
7647	201610	3151
7647	201611	3151
7647	201612	3151
7647	201701	3151
7647	201702	3151
7647	201703	3151
7647	201704	3151
7647	201705	3151
7647	201706	3151
7647	201707	3151
7647	201708	3151
7647	201709	3151
7647	201710	3151
7647	201711	3151
7647	201712	3151
7647	201801	3151
7647	201802	3151
7647	201803	3151
7647	201804	3151
7647	201805	3151
7647	201806	3151
7647	201807	3151
7647	201808	3151
7647	201809	3151
7647	201810	3151
7647	201811	3151
7647	201812	3151
7647	201901	3151
64768	200001	15473
64768	200002	15473
64768	200003	15473
64768	200004	15473
64768	200005	15473
64768	200006	15473
64768	200007	15473
64768	200008	15473
64768	200009	15473
64768	200010	15473
64768	200011	15473
64768	200012	15473
64768	200101	15473
64768	200102	15473
64768	200103	15473
64768	200104	15473
64768	200105	15473
64768	200106	15473
64768	200107	15473
64768	200108	15473
64768	200109	15473
64768	200110	15473
64768	200111	15473
64768	200112	15473
64768	200201	15473
64768	200202	15473
64768	200203	15473
64768	200204	15473
64768	200205	15473
64768	200206	15473
64768	200207	15473
64768	200208	15473
64768	200209	15473
64768	200210	15473
64768	200211	15473
64768	200212	15473
64768	200301	15473
64768	200302	15473
64768	200303	15473
64768	200304	15473
64768	200305	15473
64768	200306	15473
64768	200307	15473
64768	200308	15473
64768	200309	15473
64768	200310	15473
64768	200311	15473
64768	200312	15473
64768	200401	15473
64768	200402	15473
64768	200403	15473
64768	200404	15473
64768	200405	15473
64768	200406	15473
64768	200407	15473
64768	200408	15473
64768	200409	15473
64768	200410	15473
64768	200411	15473
64768	200412	15473
64768	200501	15473
64768	200502	15473
64768	200503	15473
64768	200504	15473
64768	200505	15473
64768	200506	15473
64768	200507	15473
64768	200508	15473
64768	200509	15473
64768	200510	15473
64768	200511	15473
64768	200512	15473
64768	200601	15473
64768	200602	15473
64768	200603	15473
64768	200604	15473
64768	200605	15473
64768	200606	15473
64768	200607	15473
64768	200608	15473
64768	200609	15473
64768	200610	15473
64768	200611	15473
64768	200612	15473
64768	200701	15473
64768	200702	15473
64768	200703	15473
64768	200704	15473
64768	200705	15473
64768	200706	15473
64768	200707	15473
64768	200708	15473
64768	200709	15473
64768	200710	15473
64768	200711	15473
64768	200712	15473
64768	200801	15473
64768	200802	15473
64768	200803	15473
64768	200804	15473
64768	200805	15473
64768	200806	15473
64768	200807	15473
64768	200808	15473
64768	200809	15473
64768	200810	15473
64768	200811	15473
64768	200812	15473
64768	200901	15473
64768	200902	15473
64768	200903	15473
64768	200904	15473
64768	200905	15473
64768	200906	15473
64768	200907	15473
64768	200908	15473
64768	200909	15473
64768	200910	15473
64768	200911	15473
64768	200912	15473
64768	201001	15473
64768	201002	15473
64768	201003	15473
64768	201004	15473
64768	201005	15473
64768	201006	15473
64768	201007	15473
64768	201008	15473
64768	201009	15473
64768	201010	15473
64768	201011	15473
64768	201012	15473
64768	201101	15473
64768	201102	15473
64768	201103	15473
64768	201104	15473
64768	201105	15473
64768	201106	15473
64768	201107	15473
64768	201108	15473
64768	201109	15473
64768	201110	15473
64768	201111	15473
64768	201112	15473
64768	201201	15473
64768	201202	15473
64768	201203	15473
64768	201204	15473
64768	201205	15473
64768	201206	15473
64768	201207	15473
64768	201208	15473
64768	201209	15473
64768	201210	15473
64768	201211	15473
64768	201212	15473
64768	201301	15473
64768	201302	15473
64768	201303	15473
64768	201304	15473
64768	201305	15473
64768	201306	15473
64768	201307	15473
64768	201308	15473
64768	201309	15473
64768	201310	15473
64768	201311	15473
64768	201312	15473
64768	201401	15473
64768	201402	15473
64768	201403	15473
64768	201404	15473
64768	201405	15473
64768	201406	15473
64768	201407	15473
64768	201408	15473
64768	201409	15473
64768	201410	15473
64768	201411	15473
64768	201412	15473
64768	201501	15473
64768	201502	15473
64768	201503	15473
64768	201504	15473
64768	201505	15473
64768	201506	15473
64768	201507	15473
64768	201508	15473
64768	201509	15473
64768	201510	15473
64768	201511	15473
64768	201512	15473
64768	201601	15473
64768	201602	15473
64768	201603	15473
64768	201604	15473
64768	201605	15473
64768	201606	15473
64768	201607	15473
64768	201608	15473
64768	201609	15473
64768	201610	15473
64768	201611	15473
64768	201612	15473
64768	201701	15473
64768	201702	15473
64768	201703	15473
64768	201704	15473
64768	201705	15473
64768	201706	15473
64768	201707	15473
64768	201708	15473
64768	201709	15473
64768	201710	15473
64768	201711	15473
64768	201712	15473
64768	201801	15473
64768	201802	15473
64768	201803	15473
64768	201804	15473
64768	201805	15473
64768	201806	15473
64768	201807	15473
64768	201808	15473
64768	201809	15473
64768	201810	15473
64768	201811	15473
64768	201812	15473
64768	201901	15473
114628	200001	35048
114628	200002	35048
114628	200003	35048
114628	200004	35048
114628	200005	35048
114628	200006	35048
114628	200007	35048
114628	200008	35048
114628	200009	35048
114628	200010	35048
114628	200011	35048
114628	200012	35048
114628	200101	35048
114628	200102	35048
114628	200103	35048
114628	200104	35048
114628	200105	35048
114628	200106	35048
114628	200107	35048
114628	200108	35048
114628	200109	35048
114628	200110	35048
114628	200111	35048
114628	200112	35048
114628	200201	35048
114628	200202	35048
114628	200203	35048
114628	200204	35048
114628	200205	35048
